episode,qlearning_reward,qlearning_length,qlearning_success,qlearning_eps,prospect_reward,prospect_length,prospect_success,prospect_eps,sarsa_reward,sarsa_length,sarsa_success,sarsa_eps,double_q_reward,double_q_length,double_q_success,double_q_eps,ucb_reward,ucb_length,ucb_success,ucb_eps,expected_sarsa_reward,expected_sarsa_length,expected_sarsa_success,expected_sarsa_eps
0,-144.5719,180,0,1.000000,-144.5397,180,0,1.000000,-144.5030,180,0,1.000000,-144.5636,180,0,1.000000,-144.5857,180,0,0.000000,-144.5071,180,0,1.000000
1,-144.6505,180,0,0.992464,-144.5345,180,0,0.998907,-144.5492,180,0,0.997641,-144.5543,180,0,0.990083,-144.6120,180,0,0.000000,-144.5488,180,0,0.995799
2,-144.5659,180,0,0.984984,-144.5642,180,0,0.997816,-144.5603,180,0,0.995288,-144.5036,180,0,0.980264,-144.5866,180,0,0.000000,-144.5534,180,0,0.991615
3,-144.5575,180,0,0.977561,-144.6428,180,0,0.996726,-144.5731,180,0,0.992940,-144.5669,180,0,0.970543,-144.5441,180,0,0.000000,-144.5741,180,0,0.987449
4,-144.5718,180,0,0.970194,-144.5340,180,0,0.995637,-144.6016,180,0,0.990598,-144.4903,180,0,0.960918,-144.4620,180,0,0.000000,-144.5478,180,0,0.983300
5,-144.5972,180,0,0.962882,-144.5318,180,0,0.994549,-144.5466,180,0,0.988261,-144.5992,180,0,0.951389,-144.5039,180,0,0.000000,-144.5533,180,0,0.979169
6,-144.5599,180,0,0.955626,-144.5711,180,0,0.993462,-144.5474,180,0,0.985930,-144.5569,180,0,0.941954,-144.4846,180,0,0.000000,-144.5829,180,0,0.975055
7,-144.6132,180,0,0.948424,-144.5858,180,0,0.992377,-144.5512,180,0,0.983604,-144.5085,180,0,0.932613,-144.4556,180,0,0.000000,-144.5154,180,0,0.970959
8,-144.6368,180,0,0.941276,-144.6301,180,0,0.991292,-144.5941,180,0,0.981284,-144.5340,180,0,0.923364,-144.5747,180,0,0.000000,-144.5796,180,0,0.966880
9,-144.5547,180,0,0.934182,-144.5543,180,0,0.990209,-144.5144,180,0,0.978969,-144.5734,180,0,0.914207,-144.5573,180,0,0.000000,-144.5569,180,0,0.962818
10,-144.6161,180,0,0.927142,-144.5529,180,0,0.989127,-144.5409,180,0,0.976660,-144.5570,180,0,0.905141,-144.4626,180,0,0.000000,-144.5149,180,0,0.958772
11,-144.5771,180,0,0.920155,-144.5847,180,0,0.988047,-144.5344,180,0,0.974356,-144.5526,180,0,0.896165,-144.5088,180,0,0.000000,-144.5750,180,0,0.954744
12,-144.5959,180,0,0.913220,-144.6294,180,0,0.986967,-144.5608,180,0,0.972057,-144.5976,180,0,0.887278,-144.5691,180,0,0.000000,-144.5184,180,0,0.950733
13,-144.6045,180,0,0.906338,-144.5249,180,0,0.985889,-144.6033,180,0,0.969764,-144.5916,180,0,0.878478,-144.5023,180,0,0.000000,-144.5901,180,0,0.946739
14,-144.5804,180,0,0.899508,-144.5637,180,0,0.984812,-144.5955,180,0,0.967477,-144.5388,180,0,0.869767,-144.4976,180,0,0.000000,-144.5820,180,0,0.942761
15,-144.5219,180,0,0.892729,-144.5687,180,0,0.983736,-144.5571,180,0,0.965195,-144.5107,180,0,0.861141,-144.6276,180,0,0.000000,-144.5936,180,0,0.938800
16,-144.5045,180,0,0.886001,-144.5428,180,0,0.982661,-144.4845,180,0,0.962918,-144.5875,180,0,0.852601,-144.4511,180,0,0.000000,-144.5348,180,0,0.934856
17,-144.5260,180,0,0.879324,-144.5464,180,0,0.981587,-144.6085,180,0,0.960646,-144.5543,180,0,0.844146,-144.5034,180,0,0.000000,-144.6472,180,0,0.930929
18,-144.6832,180,0,0.872697,-144.5501,180,0,0.980515,-144.5521,180,0,0.958380,-144.5453,180,0,0.835775,-144.5681,180,0,0.000000,-144.5401,180,0,0.927018
19,-144.5631,180,0,0.866120,-144.5549,180,0,0.979443,-144.5480,180,0,0.956120,-144.5499,180,0,0.827486,-144.5511,180,0,0.000000,-144.5483,180,0,0.923123
20,-144.5741,180,0,0.859592,-144.5318,180,0,0.978373,-144.5807,180,0,0.953864,-144.5726,180,0,0.819280,-144.6117,180,0,0.000000,-144.5571,180,0,0.919245
21,-144.5493,180,0,0.853114,-144.5711,180,0,0.977304,-144.5832,180,0,0.951614,-144.5344,180,0,0.811155,-144.5848,180,0,0.000000,-144.5848,180,0,0.915383
22,-144.5783,180,0,0.846685,-144.5339,180,0,0.976236,-144.5734,180,0,0.949369,-144.5509,180,0,0.803111,-144.6302,180,0,0.000000,-144.5306,180,0,0.911537
23,-144.5537,180,0,0.840304,-144.4890,180,0,0.975170,-144.5249,180,0,0.947130,-144.6174,180,0,0.795147,-144.6078,180,0,0.000000,-144.5696,180,0,0.907707
24,-144.5198,180,0,0.833971,-144.5806,180,0,0.974104,-144.5843,180,0,0.944896,-144.5193,180,0,0.787261,-144.4802,180,0,0.000000,-144.5298,180,0,0.903894
25,-144.5096,180,0,0.827686,-144.5015,180,0,0.973040,-144.5732,180,0,0.942667,-144.4895,180,0,0.779454,-144.5318,180,0,0.000000,-144.6411,180,0,0.900096
26,-144.6784,180,0,0.821449,-144.5906,180,0,0.971977,-144.5910,180,0,0.940443,-144.5141,180,0,0.771724,-144.6208,180,0,0.000000,-144.6216,180,0,0.896314
27,-144.5258,180,0,0.815258,-144.5227,180,0,0.970915,-144.5471,180,0,0.938225,-144.5856,180,0,0.764071,-144.5372,180,0,0.000000,-144.5819,180,0,0.892549
28,-144.5997,180,0,0.809114,-144.5868,180,0,0.969854,-144.5822,180,0,0.936012,-144.5800,180,0,0.756494,-144.5958,180,0,0.000000,-144.5496,180,0,0.888799
29,-144.5222,180,0,0.803016,-144.5157,180,0,0.968794,-144.5980,180,0,0.933804,-144.5489,180,0,0.748992,-144.5496,180,0,0.000000,-144.6258,180,0,0.885065
30,-144.5415,180,0,0.796964,-144.5703,180,0,0.967736,-144.5757,180,0,0.931601,-144.5922,180,0,0.741564,-144.6415,180,0,0.000000,-144.5085,180,0,0.881346
31,-144.6000,180,0,0.790958,-144.5724,180,0,0.966678,-144.5635,180,0,0.929403,-144.5598,180,0,0.734210,-144.4653,180,0,0.000000,-144.6173,180,0,0.877643
32,-144.6163,180,0,0.784997,-144.4988,180,0,0.965622,-144.5316,180,0,0.927211,-144.5760,180,0,0.726929,-144.5620,180,0,0.000000,-144.6093,180,0,0.873956
33,-144.5580,180,0,0.779081,-144.5186,180,0,0.964567,-144.5908,180,0,0.925024,-144.5832,180,0,0.719720,-144.5163,180,0,0.000000,-144.5476,180,0,0.870284
34,-144.5644,180,0,0.773210,-144.4984,180,0,0.963513,-144.5346,180,0,0.922842,-144.5447,180,0,0.712583,-144.6340,180,0,0.000000,-144.5814,180,0,0.866628
35,-144.5289,180,0,0.767383,-144.5398,180,0,0.962461,-144.5255,180,0,0.920665,-144.4996,180,0,0.705516,-144.5539,180,0,0.000000,-144.5858,180,0,0.862987
36,-144.5333,180,0,0.761599,-144.5912,180,0,0.961409,-144.5812,180,0,0.918493,-144.5094,180,0,0.698519,-144.5062,180,0,0.000000,-144.5731,180,0,0.859362
37,-144.5592,180,0,0.755860,-144.6010,180,0,0.960359,-144.5848,180,0,0.916326,-144.5956,180,0,0.691592,-144.4635,180,0,0.000000,-144.5536,180,0,0.855751
38,-144.5381,180,0,0.750163,-144.5101,180,0,0.959309,-144.5567,180,0,0.914165,-144.5451,180,0,0.684734,-144.6173,180,0,0.000000,-144.5861,180,0,0.852156
39,-144.5395,180,0,0.744510,-144.5898,180,0,0.958261,-144.5893,180,0,0.912008,-144.4909,180,0,0.677943,-144.5871,180,0,0.000000,-144.5337,180,0,0.848576
40,-144.6029,180,0,0.738899,-144.5948,180,0,0.957214,-144.5797,180,0,0.909857,-144.5192,180,0,0.671220,-144.5661,180,0,0.000000,-144.5037,180,0,0.845011
41,-144.5516,180,0,0.733331,-144.5597,180,0,0.956168,-144.4754,180,0,0.907711,-144.6083,180,0,0.664564,-144.5846,180,0,0.000000,-144.5374,180,0,0.841460
42,-144.4753,180,0,0.727804,-144.5553,180,0,0.955123,-144.5776,180,0,0.905569,-144.5602,180,0,0.657973,-144.5583,180,0,0.000000,-144.5375,180,0,0.837925
43,-144.5548,180,0,0.722319,-144.5487,180,0,0.954080,-144.5286,180,0,0.903433,-144.5390,180,0,0.651448,-144.6015,180,0,0.000000,-144.5717,180,0,0.834405
44,-144.5859,180,0,0.716875,-144.5178,180,0,0.953037,-144.5719,180,0,0.901302,-144.6411,180,0,0.644988,-144.5775,180,0,0.000000,-144.5565,180,0,0.830899
45,-144.5777,180,0,0.711473,-144.5529,180,0,0.951996,-144.5181,180,0,0.899176,-144.6023,180,0,0.638591,-144.5715,180,0,0.000000,-144.5959,180,0,0.827408
46,-144.5993,180,0,0.706111,-144.5486,180,0,0.950956,-144.5760,180,0,0.897055,-144.5819,180,0,0.632259,-144.5215,180,0,0.000000,-144.5245,180,0,0.823932
47,-144.5718,180,0,0.700789,-144.5579,180,0,0.949917,-144.5932,180,0,0.894939,-144.5510,180,0,0.625988,-144.5979,180,0,0.000000,-144.5818,180,0,0.820471
48,-144.6070,180,0,0.695508,-144.5259,180,0,0.948879,-144.5915,180,0,0.892828,-144.5637,180,0,0.619781,-144.5405,180,0,0.000000,-144.5554,180,0,0.817023
49,-144.5375,180,0,0.690267,-144.5079,180,0,0.947842,-144.5612,180,0,0.890722,-144.6031,180,0,0.613634,-144.5534,180,0,0.000000,-144.5934,180,0,0.813591
50,-144.5728,180,0,0.685064,-144.5427,180,0,0.946807,-144.5865,180,0,0.888621,-144.5996,180,0,0.607549,-144.6043,180,0,0.000000,-144.4966,180,0,0.810173
51,-144.5418,180,0,0.679902,-144.5123,180,0,0.945772,-144.4854,180,0,0.886524,-144.5583,180,0,0.601524,-144.5687,180,0,0.000000,-144.5105,180,0,0.806769
52,-144.5360,180,0,0.674778,-144.5928,180,0,0.944739,-144.5529,180,0,0.884433,-144.5417,180,0,0.595559,-144.5751,180,0,0.000000,-144.5765,180,0,0.803380
53,-144.5870,180,0,0.669692,-144.5230,180,0,0.943707,-144.5516,180,0,0.882347,-144.6014,180,0,0.589652,-144.5756,180,0,0.000000,-144.5747,180,0,0.800004
54,-144.5879,180,0,0.664645,-144.5694,180,0,0.942676,-144.5483,180,0,0.880266,-144.5386,180,0,0.583805,-144.5634,180,0,0.000000,-144.6241,180,0,0.796643
55,-144.4959,180,0,0.659636,-144.5850,180,0,0.941646,-144.5952,180,0,0.878189,-144.5911,180,0,0.578015,-144.5956,180,0,0.000000,-144.5463,180,0,0.793296
56,-144.5481,180,0,0.654665,-144.5200,180,0,0.940617,-144.5381,180,0,0.876118,-144.6029,180,0,0.572283,-144.5784,180,0,0.000000,-144.5981,180,0,0.789963
57,-144.5497,180,0,0.649731,-144.4906,180,0,0.939589,-144.5675,180,0,0.874051,-144.5711,180,0,0.566608,-144.6422,180,0,0.000000,-144.6113,180,0,0.786645
58,-144.5789,180,0,0.644835,-144.5330,180,0,0.938562,-144.5540,180,0,0.871989,-144.5470,180,0,0.560989,-144.5088,180,0,0.000000,-144.5399,180,0,0.783340
59,-144.5593,180,0,0.639975,-144.5505,180,0,0.937537,-144.5980,180,0,0.869932,-144.5822,180,0,0.555425,-144.5985,180,0,0.000000,-144.6239,180,0,0.780049
60,-144.5729,180,0,0.635152,-144.5043,180,0,0.936513,-144.5610,180,0,0.867880,-144.5638,180,0,0.549917,-144.4865,180,0,0.000000,-144.5752,180,0,0.776771
61,-144.5292,180,0,0.630365,-144.5830,180,0,0.935489,-144.5828,180,0,0.865833,-144.5685,180,0,0.544464,-144.5718,180,0,0.000000,-144.6016,180,0,0.773508
62,-144.5522,180,0,0.625615,-144.4515,180,0,0.934467,-144.5682,180,0,0.863790,-144.5805,180,0,0.539064,-144.5332,180,0,0.000000,-144.5303,180,0,0.770258
63,-144.5556,180,0,0.620900,-144.5462,180,0,0.933446,-144.6024,180,0,0.861753,-144.5467,180,0,0.533719,-144.6025,180,0,0.000000,-144.5701,180,0,0.767022
64,-144.5116,180,0,0.616221,-144.4994,180,0,0.932426,-144.5941,180,0,0.859720,-144.5808,180,0,0.528426,-144.5513,180,0,0.000000,-144.5884,180,0,0.763800
65,-144.5735,180,0,0.611577,-144.4964,180,0,0.931408,-144.5754,180,0,0.857692,-144.5262,180,0,0.523185,-144.5600,180,0,0.000000,-144.5908,180,0,0.760591
66,-144.5733,180,0,0.606968,-144.5042,180,0,0.930390,-144.5643,180,0,0.855669,-144.5374,180,0,0.517997,-144.5289,180,0,0.000000,-144.5681,180,0,0.757395
67,-144.6032,180,0,0.602393,-144.5351,180,0,0.929373,-144.5086,180,0,0.853650,-144.5490,180,0,0.512860,-144.5720,180,0,0.000000,-144.5626,180,0,0.754213
68,-144.5633,180,0,0.597853,-144.6512,180,0,0.928358,-144.4910,180,0,0.851637,-144.6690,180,0,0.507774,-144.5369,180,0,0.000000,-144.4955,180,0,0.751044
69,-144.6258,180,0,0.593348,-144.5236,180,0,0.927344,-144.5271,180,0,0.849628,-144.5891,180,0,0.502738,-144.6091,180,0,0.000000,-144.4882,180,0,0.747889
70,-144.5047,180,0,0.588876,-144.5207,180,0,0.926330,-144.5731,180,0,0.847623,-144.5269,180,0,0.497753,-144.6157,180,0,0.000000,-144.5599,180,0,0.744747
71,-144.5831,180,0,0.584438,-144.5785,180,0,0.925318,-144.5718,180,0,0.845624,-144.5850,180,0,0.492817,-144.6636,180,0,0.000000,-144.6001,180,0,0.741618
72,-144.4960,180,0,0.580034,-144.4426,180,0,0.924307,-144.5829,180,0,0.843629,-144.4911,180,0,0.487929,-144.5706,180,0,0.000000,-144.5268,180,0,0.738502
73,-144.5190,180,0,0.575662,-144.4106,180,0,0.923297,-144.5530,180,0,0.841639,-144.6124,180,0,0.483091,-144.5418,180,0,0.000000,-144.5639,180,0,0.735400
74,-144.5554,180,0,0.571324,-144.4899,180,0,0.922288,-144.6140,180,0,0.839654,-144.6020,180,0,0.478300,-144.5118,180,0,0.000000,-144.5052,180,0,0.732310
75,-144.5734,180,0,0.567018,-144.4970,180,0,0.921281,-144.6064,180,0,0.837673,-144.5584,180,0,0.473556,-144.5703,180,0,0.000000,-144.6011,180,0,0.729233
76,-144.5317,180,0,0.562745,-144.4969,180,0,0.920274,-144.5829,180,0,0.835697,-144.5488,180,0,0.468860,-144.5258,180,0,0.000000,-144.5361,180,0,0.726170
77,-144.5723,180,0,0.558504,-144.5782,180,0,0.919269,-144.5664,180,0,0.833726,-144.5975,180,0,0.464211,-144.5635,180,0,0.000000,-144.5590,180,0,0.723119
78,-144.4843,180,0,0.554295,-144.4491,180,0,0.918264,-144.6401,180,0,0.831759,-144.5796,180,0,0.459607,-144.6480,180,0,0.000000,-144.5741,180,0,0.720081
79,-144.5844,180,0,0.550118,-144.5306,180,0,0.917261,-144.5497,180,0,0.829797,-144.5490,180,0,0.455049,-144.5612,180,0,0.000000,-144.5640,180,0,0.717055
80,-144.5563,180,0,0.545972,-144.5730,180,0,0.916259,-144.5951,180,0,0.827840,-144.5692,180,0,0.450536,-144.5535,180,0,0.000000,-144.5369,180,0,0.714043
81,-144.6064,180,0,0.541857,-144.5058,180,0,0.915258,-144.5098,180,0,0.825887,-144.5843,180,0,0.446068,-144.5937,180,0,0.000000,-144.5433,180,0,0.711043
82,-144.6086,180,0,0.537774,-144.5128,180,0,0.914258,-144.6037,180,0,0.823939,-144.5983,180,0,0.441645,-144.5756,180,0,0.000000,-144.5267,180,0,0.708056
83,-144.5417,180,0,0.533721,-144.5611,180,0,0.913259,-144.5641,180,0,0.821995,-144.6000,180,0,0.437265,-144.5391,180,0,0.000000,-144.5483,180,0,0.705081
84,-144.5804,180,0,0.529699,-144.5248,180,0,0.912261,-144.4970,180,0,0.820056,-144.5920,180,0,0.432929,-144.6023,180,0,0.000000,-144.5726,180,0,0.702119
85,-144.4863,180,0,0.525707,-144.5055,180,0,0.911264,-144.6368,180,0,0.818122,-144.5405,180,0,0.428635,-144.5595,180,0,0.000000,-144.4811,180,0,0.699169
86,-144.5652,180,0,0.521745,-144.6103,180,0,0.910268,-144.5224,180,0,0.816192,-144.5220,180,0,0.424385,-144.5332,180,0,0.000000,-144.5618,180,0,0.696231
87,-144.6760,180,0,0.517813,-144.5641,180,0,0.909274,-144.5365,180,0,0.814266,-144.5683,180,0,0.420176,-144.5916,180,0,0.000000,-144.5837,180,0,0.693306
88,-144.6336,180,0,0.513910,-144.5559,180,0,0.908280,-144.6092,180,0,0.812346,-144.5847,180,0,0.416009,-144.6237,180,0,0.000000,-144.5926,180,0,0.690393
89,-144.5261,180,0,0.510037,-144.5306,180,0,0.907288,-144.5484,180,0,0.810429,-144.5227,180,0,0.411884,-144.6014,180,0,0.000000,-144.5795,180,0,0.687493
90,-144.5860,180,0,0.506194,-144.5249,180,0,0.906297,-144.5380,180,0,0.808518,-144.5462,180,0,0.407799,-144.5645,180,0,0.000000,-144.5497,180,0,0.684605
91,-144.5685,180,0,0.502379,-144.5997,180,0,0.905306,-144.5958,180,0,0.806610,-144.6229,180,0,0.403755,-144.5740,180,0,0.000000,-144.5870,180,0,0.681728
92,-144.5441,180,0,0.498593,-144.5222,180,0,0.904317,-144.5833,180,0,0.804708,-144.5345,180,0,0.399751,-144.5356,180,0,0.000000,-144.5520,180,0,0.678864
93,-144.5247,180,0,0.494835,-144.4735,180,0,0.903329,-144.5409,180,0,0.802810,-144.5289,180,0,0.395787,-144.6173,180,0,0.000000,-144.5776,180,0,0.676012
94,-144.6506,180,0,0.491106,-144.5173,180,0,0.902342,-144.5356,180,0,0.800916,-144.6114,180,0,0.391862,-144.5539,180,0,0.000000,-144.5759,180,0,0.673172
95,-144.6006,180,0,0.487405,-144.5136,180,0,0.901356,-144.6198,180,0,0.799026,-144.5276,180,0,0.387975,-144.6035,180,0,0.000000,-144.5858,180,0,0.670344
96,-144.6340,180,0,0.483731,-144.5164,180,0,0.900372,-144.5404,180,0,0.797142,-144.5319,180,0,0.384128,-144.5203,180,0,0.000000,-144.5392,180,0,0.667527
97,-144.5865,180,0,0.480086,-144.4430,180,0,0.899388,-144.5698,180,0,0.795261,-144.5744,180,0,0.380319,-144.5781,180,0,0.000000,-144.5730,180,0,0.664723
98,-144.5621,180,0,0.476468,-144.5543,180,0,0.898405,-144.5168,180,0,0.793385,-144.5524,180,0,0.376547,-144.5261,180,0,0.000000,-144.6020,180,0,0.661930
99,-144.5396,180,0,0.472877,-144.5302,180,0,0.897424,-144.5752,180,0,0.791514,-144.5516,180,0,0.372813,-144.5366,180,0,0.000000,-144.5516,180,0,0.659149
100,-144.5140,180,0,0.469313,-144.5607,180,0,0.896443,-144.5616,180,0,0.789647,-144.6055,180,0,0.369116,-144.5719,180,0,0.000000,-144.5060,180,0,0.656380
101,-144.6196,180,0,0.465776,-144.5484,180,0,0.895464,-144.6286,180,0,0.787784,-144.5452,180,0,0.365455,-144.5613,180,0,0.000000,-144.5561,180,0,0.653622
